TSNE1,TSNE2
-13.644222,-2.1454892
9.177995,0.55841863
0.6874351,-1.7109646
10.775093,2.412497
-12.615049,1.2729264
5.866399,-4.0788646
4.427964,-6.484459
12.8740425,2.2157102
-3.3068626,-5.930955
14.501987,-1.1949797
1.8281435,7.8840666
5.4858265,-3.5716295
0.5375936,9.1304455
-1.916315,7.59766
5.686458,-4.4413953
13.877931,1.7101413
12.269347,-2.009143
4.3225694,-0.41209328
-13.603543,0.45014554
-1.7166791,7.669397
2.765825,0.46930507
10.210641,0.9016837
-7.0493655,-0.33312985
4.493753,-5.229293
-2.9971871,8.509747
12.404093,1.8008775
-13.016039,0.3577864
-13.107277,-0.6638375
-14.626969,-0.32016933
2.2748144,-2.2057145
-2.6500437,7.033881
-13.697832,-0.263484
8.52343,-3.5768695
-16.061434,-0.5475045
-16.848463,-0.5482138
4.405521,-6.144159
-1.0581312,-4.9168715
4.94825,-4.3726234
-11.321963,0.8019405
-11.364872,-0.2508313
5.1081343,-1.4044194
11.198438,0.73889196
16.158379,-0.07046359
9.859881,0.33203188
12.760629,0.89009345
-14.42893,0.97762233
13.050831,-1.5090677
-8.092257,-1.5068449
3.3923397,-3.7401972
4.0356526,-3.0486584
3.7044895,-0.81037444
-1.2595774,-1.6036314
4.1897774,-0.847588
-13.211123,1.0779691
-11.489276,-1.5059707
13.3293085,0.96341854
-5.8410687,-0.8925678
-11.386381,-0.89146274
-4.6385,7.0439696
12.8333845,0.13420516
12.744018,-2.4979773
-10.150275,-0.41983417
-13.594315,-1.0482008
14.922532,3.2586508
13.612129,-1.420794
-10.528065,-0.6804599
14.92427,-1.136931
4.4782357,-3.5910265
4.081654,0.43415505
-14.43929,-0.12045997
-14.650262,-0.74740064
3.2434123,0.2977464
-10.537257,2.6397326
0.23795909,-1.1541988
4.21529,0.051631615
11.453421,-1.533208
13.166696,-0.20860064
-3.370789,-1.7858212
-3.4235284,-2.5093334
-0.09327725,-3.1526394
-0.9194138,6.2804337
12.199428,-0.27103052
2.9491205,8.652426
13.893018,-2.2319832
0.26263368,10.200865
-1.1066468,-5.991588
0.4980695,7.885499
0.59282166,-4.048809
-9.68362,-0.30346027
3.4530256,1.9631988
1.4541283,8.618743
-0.13614553,6.8378363
-2.477237,6.531655
11.7221985,1.6405107
1.0501446,8.847527
-13.246832,2.5534756
-14.198938,-1.0660077
0.40349746,-2.3811162
9.274371,-0.20503344
14.672193,1.5430743
11.590258,-0.1599196
-10.31819,0.47991222
-10.866286,0.29155526
-2.6120677,-3.873397
2.611215,9.180079
-14.979336,0.4874435
10.603138,-0.059561286
-4.53995,5.9599648
-14.575815,-1.5218277
-3.5236316,-4.6246266
5.7118044,-3.3076477
-3.909807,6.5571766
11.50094,2.4650657
15.117591,1.8210466
0.7004961,6.7624655
10.80441,1.0347202
1.2746507,-2.190863
-12.23775,1.2817032
-3.8277135,-1.61337
-8.664638,0.19413309
-4.009274,7.5407076
-1.5987368,7.479958
12.882274,-2.0144415
-3.414797,-6.008554
3.9097946,-0.2630775
-15.054832,1.3334515
-16.24444,-0.4778334
2.018961,7.329722
0.17435883,-1.1400151
12.287229,-2.5991719
0.5177192,8.452965
-8.413133,-2.0345469
-3.3423352,7.8711047
0.0489326,-1.3247592
4.290347,-0.89217865
-4.484294,5.7637315
2.6272864,0.31242627
4.196389,-4.719295
-3.2137835,-2.2529619
11.112248,-2.0091414
14.507142,0.11705657
1.6425838,9.279168
11.045753,-1.6090467
12.637648,3.7118802
-9.811374,-0.7421786
5.259849,-3.778135
3.8617358,-4.0449424
3.9366534,-3.6558063
3.914423,1.8151466
15.168172,0.087532945
-9.8018675,-1.687658
1.1559116,8.432892
-10.817415,-1.4723055
11.218227,1.4472381
-3.2743676,-3.3268163
-16.60032,-1.0926645
-2.3490274,-5.5092826
11.862612,1.0882375
11.445066,0.19630213
-5.36545,6.146997
-16.180712,0.16253358
-6.633308,-0.39596593
-1.1056352,-5.9677243
-16.457811,-1.3902894
13.723761,-2.4923215
-2.4294815,-3.6802216
-11.130451,-0.73712903
3.275259,-0.14565091
13.08501,-1.489253
13.956648,-1.794993
-0.20978433,7.5059757
-0.54967636,6.234075
-12.418289,-0.88223296
-2.0268497,-4.274861
-4.8578277,5.614606
-12.548615,0.0051292744
3.8910797,1.8299884
6.1068125,-4.807293
0.8326575,-2.5086238
0.31066683,-3.3062203
-0.14251657,6.2342114
-4.226608,7.323853
-12.0031395,-0.28346705
11.259573,2.2969143
1.6665301,9.230609
11.977628,-2.3568437
7.236074,-3.708426
4.4624205,-7.0520186
0.438067,7.2271795
-5.0807753,6.3066707
4.3841305,-3.238873
-2.5300798,-3.1753666
-2.101288,5.60981
-11.281691,0.97843945
-10.208902,0.8664271
